   Y(Boylam)    X(Enlem)
   34.3738540   39.0635350
   37.4669270   36.6750040
   37.1146610   36.7164770
   36.9159230   36.8858970
   37.1435520   36.8421740
   29.9509260   40.6298368
   29.3722340   40.8242150
   29.4002978   40.7738633
   29.8309180   40.7561890
   29.5441580   40.7876220
   29.4397941   40.8025157
   29.8194875   40.7167517
   29.9875350   40.7702760
   30.1523940   41.0703630
   29.6164180   40.6912740
   30.0232160   40.7533690
   29.7377180   40.7763820
   32.1208790   37.2390770
   32.3711390   37.4525980
   31.4179910   38.3602580
   32.8688880   38.3082740
   31.7242990   37.6797960
   32.2453930   37.1889120
   32.9233030   38.6568830
   31.7905520   39.0234290
   32.7810380   37.5738990
   32.0153230   38.0134320
   31.5100870   37.3910800
   31.6767500   38.1459550
   33.8361450   37.9040830
   34.0488060   37.5123160
   32.7274200   37.2679230
   32.4558750   36.9860630
   34.1868550   37.4336429
   31.5993330   37.9512790
   31.9139500   38.2817239
   32.2078680   38.2408710
   33.5465700   37.7153200
   32.4931554   37.8746429
   33.0805280   39.0902450
   32.4931554   37.8746429
   32.4070750   38.2646609
   32.4931554   37.8746429
   31.8482160   37.4192600
   32.4932270   36.9236829
   31.6294830   38.4743769
   32.0854530   37.3005340
   31.7356520   38.8134560
   30.1085560   39.0579970
   29.8703450   39.2149020
   29.6172460   39.1968720
   29.6127310   39.8009990
   29.9762000   38.8552000
   29.2578990   39.3444130
   29.3957050   38.9907360
   29.2358960   39.2465280
   29.9857320   39.4199547
   29.1239000   38.9951999
   28.9787000   39.0896000
   29.2200650   39.0249100
   29.4914000   39.5470000
   37.7960607   38.3883533
   38.4883640   39.0428349
   38.2647950   38.7826930
   38.3654439   38.4250200
   37.4906050   38.5566640
   37.8781160   38.0934150
   39.0377490   38.3102990
   37.9307790   38.8165250
   38.7731240   38.4237440
   37.6703000   38.8857000
   38.8689250   38.1959260
   38.1800750   38.5957600
   38.2474750   38.2954590
   27.9379640   38.5163810
   27.8366200   38.9176640
   28.5165410   38.3544580
   28.6585440   39.0473360
   27.9184260   38.7139130
   28.2886680   38.9330290
   27.7842460   39.1197897
   28.4042890   38.7482210
   28.6445850   38.5432340
   28.1380520   38.4870740
   28.6964340   38.2383510
   27.5698180   38.7349820
   28.8673670   38.7439880
   27.6087920   39.1851130
   27.4295624   38.6140337
   27.7084100   38.5001610
   27.3878497   38.6262479
   40.7191664   37.3271054
   41.7203810   37.5461839
