                                 Şehir        X(Enlem)     Y(Boylam)
                   Iğdır merkez  Iğdır 429   39.9200596   44.0436151
                    Karakoyunlu  Iğdır 430   39.9707050   44.1743820
                        Tuzluca  Iğdır 431   40.0400149   43.6631640
                         Aksu  Isparta 432   37.7992510   31.0695710
                       Atabey  Isparta 433   37.9505960   30.6407850
                      Eğirdir  Isparta 434   37.8740669   30.8508890
                    Gelendost  Isparta 435   38.1208310   31.0147740
                        Gönen  Isparta 436   37.9588899   30.5123230
               Isparta merkez  Isparta 437   37.7626487   30.5537050
                    Keçiborlu  Isparta 438   37.9430580   30.3013600
                    Senirkent  Isparta 439   38.1079409   30.5501780
                     Sütçüler  Isparta 440   37.4952650   30.9786510
                Şarkikaraağaç  Isparta 441   38.0797960   31.3617910
                     Uluborlu  Isparta 442   38.0783289   30.4509450
                       Yalvaç  Isparta 443   38.2994730   31.1758050
               Yenişarbademli  Isparta 444   37.7059440   31.3832820
                      Adalar  İstanbul 445   40.8746550   29.1295640
                  Arnavutköy  İstanbul 446   41.1863940   28.7388890
                    Ataşehir  İstanbul 447   40.9833330   29.1277780
                     Avcılar  İstanbul 448   41.0153479   28.7314618
                    Bağcılar  İstanbul 449   41.0456474   28.8247220
                Bahçelievler  İstanbul 450   41.0085450   28.8247220
                    Bakırköy  İstanbul 451   40.9831984   28.8536084
                  Başakşehir  İstanbul 452   41.0833330   28.8166670
                  Bayrampaşa  İstanbul 453   41.0481503   28.9004553
                    Beşiktaş  İstanbul 454   41.0440000   29.0020000
                      Beykoz  İstanbul 455   41.1327190   29.1056900
                  Beylikdüzü  İstanbul 456   40.9910381   28.6498144
                     Beyoğlu  İstanbul 457   41.0369440   28.9775000
                Büyükçekmece  İstanbul 458   41.0244740   28.5854530
                     Çatalca  İstanbul 459   41.1422590   28.4574690
                    Çekmeköy  İstanbul 460   41.1042350   29.3177272
                     Esenler  İstanbul 461   41.0794133   28.8538545
                    Esenyurt  İstanbul 462   41.0412899   28.6940580
                        Eyüp  İstanbul 463   41.0550000   28.9344440
                       Fatih  İstanbul 464   41.0201690   28.9338640
               Gaziosmanpaşa  İstanbul 465   41.0759477   28.9004553
                    Güngören  İstanbul 466   41.0205460   28.8742440
                     Kadıköy  İstanbul 467   40.9801410   29.0822700
                   Kağıthane  İstanbul 468   41.0814028   28.9819731
                      Kartal  İstanbul 469   40.8996510   29.1936490
                Küçükçekmece  İstanbul 470   41.0086579   28.7753420
                     Maltepe  İstanbul 471   40.9498022   29.1739513
                      Pendik  İstanbul 472   40.8793260   29.2581350
                  Sancaktepe  İstanbul 473   41.0287028   29.2901829
                     Sarıyer  İstanbul 474   41.1663280   29.0499500
                     Silivri  İstanbul 475   41.0736780   28.2478680
                 Sultanbeyli  İstanbul 476   40.9684230   29.2620080
                  Sultangazi  İstanbul 477   41.1255794   28.8713314
                        Şile  İstanbul 478   41.1749030   29.6095880
                       Şişli  İstanbul 479   41.1243090   29.0110762
                       Tuzla  İstanbul 480   40.8982305   29.3598782
                    Ümraniye  İstanbul 481   41.0182327   29.1274334
                     Üsküdar  İstanbul 482   41.0322360   29.0319380
                 Zeytinburnu  İstanbul 483   40.9906350   28.8961400
                         Aliağa  İzmir 484   38.7995610   26.9707400
                        Balçova  İzmir 485   38.3890827   27.0499859
                       Bayındır  İzmir 486   38.2174819   27.6479490
                       Bayraklı  İzmir 487   38.4793887   27.1382404
                        Bergama  İzmir 488   39.1214490   27.1799130
                         Beydağ  İzmir 489   38.0847000   28.2106000
                        Bornova  İzmir 490   38.4709820   27.2176900
                           Buca  İzmir 491   38.3854789   27.1747090
                          Çeşme  İzmir 492   38.3243110   26.3032150
                          Çiğli  İzmir 493   38.4940251   26.9616941
                         Dikili  İzmir 494   39.0749000   26.8891990
